,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
1497,3580,G050.7796+00.1520,YSO ,0.22899999999999998,-0.589,1.24,3.62,,,,42.3,5.3,Kin,2917,MIPS/IGA,5.0,<0.7,
1498,3444,G051.0710+03.0753,PN ,0.22899999999999998,-0.5579999999999999,1.76,5.4,13.2,12.9,11.9,,,,,MSX,,,
1499,3594,G051.3584+00.0022,Rejected ,0.114,0.825,2.97,7.08,,,,,,,,MSX,,,
1500,3592,G051.3590+00.0082,Rejected ,0.204,2.031,4.09,12.42,,,,,,,,MSX,,,
1501,3591,G051.3616+00.0166,Rejected ,0.10099999999999999,0.965,2.49,8.29,,,,,,,,MSX,,,
1502,3595,G051.3617-00.0132,YSO ,0.177,1.626,1.87,5.71,10.9,9.5,8.9,54.0,5.2,Kin,5415,MSX,,,
1505,3589,G051.5099+00.1677,PN ,0.36200000000000004,0.992,3.8,3.83,,,,56.3,5.2,Kin,3619,MSX,5.0,153.4,
1506,3576,G051.6783+00.7190,HII region ,1.015,1.39,3.62,12.55,,,,3.4,9.9,Kin,89279,MIPS/IGA,5.0,22.5,
1507,3598,G051.6848-00.2591,HII region ,0.36200000000000004,0.8340000000000001,0.76,3.35,13.0,11.9,11.3,,,,,MSX,,,
1509,3600,G051.8042-00.2247,OH/IR star ,13.119000000000002,22.086,38.05,41.74,17.8,15.8,14.8,61.8,5.2,Kin,38833,MSX,,,
1510,3590,G051.8346+00.2837,PN ,0.314,-0.5379999999999999,2.47,4.61,14.2,13.2,12.0,,,,,MSX,5.0,78.8,
1511,3650,G051.9065-03.8668,PN ,0.161,0.945,0.96,6.57,12.5,12.5,11.8,,,,,MSX,,,
1512,3584,G051.9286+00.5785,Carbon star?,31.313000000000002,51.358999999999995,53.96,63.58,7.7,5.4,4.2,,,,,MSX,,,
1513,3556,G052.0986+01.0417,Diffuse HII region ,7.4510000000000005,15.395999999999999,12.55,47.91,,,,,,,,MSX,,,
1516,3586,G052.2078+00.6890,YSO ,0.42100000000000004,0.9940000000000001,2.01,9.57,15.3,13.7,12.2,3.8,9.8,Kin,12542,MIPS/IGA,5.0,<0.7,
1517,3653,G052.2209-04.0109,PN ,0.27399999999999997,0.667,1.8,4.56,12.8,12.8,12.0,,,,,MSX,,,
1519,3485,G052.4681+01.8046,OH/IR star?,0.11199999999999999,-0.491,1.95,5.17,18.0,15.6,14.3,25.0,2.1,Kin,818,MSX,5.0,<0.6,
1520,3621,G052.5405-00.9272,YSO ,2.227,3.415,3.81,5.41,16.6,14.5,11.8,64.7,5.1,Kin,4019,MIPS/IGA,5.0,<0.6,
1521,3599,G052.5814+00.2014,Evolved star ,0.7190000000000001,3.404,6.23,6.39,,,,,,,,MSX,,,
1522,3596,G052.7528+00.3343,HII region ,3.361,6.388,5.22,16.74,16.6,14.0,12.1,15.0,8.8,Kin,22722,MIPS/IGA,5.0,388.6,
1523,3597,G052.9217+00.4142,YSO ,2.127,2.8710000000000004,3.83,6.0,15.8,13.8,11.8,45.0,5.1,Kin,7311,MIPS/IGA,5.0,<0.6,
