,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
3959,1613,G332.6437-00.6469,Rejected ,0.882,1.692,1.67,6.98,,,,,,,,MSX,,,
3960,1605,G332.6450-00.6036,Diffuse HII region ,4.247,7.755,11.41,44.91,,,,-49.2,3.6,Spe,20103,MSX,8.6,<9.5,
3963,1610,G332.6599-00.6143,Rejected ,4.971,29.974,51.97,111.99,,,,,,,,MSX,,,
3964,1609,G332.6702-00.6016,Evolved star ,3.528,2.105,3.76,12.0,4.0,3.2,3.1,,,,,MSX,,,
3965,1616,G332.6806-00.6201,Rejected ,0.32899999999999996,2.9339999999999997,6.05,12.01,,,,,,,,MSX,,,
3966,1620,G332.6832-00.6465,Rejected ,1.286,1.94,2.34,8.0,,,,,,,,MSX,,,
3967,1615,G332.6837-00.6131,Rejected ,0.905,4.5969999999999995,5.5,17.38,,,,,,,,MSX,,,
3968,1611,G332.6841-00.5924,Rejected ,1.49,3.48,1.57,7.15,,,,,,,,MSX,,,
3969,1578,G332.6925+00.1479,Evolved star ,0.503,2.309,4.71,12.68,15.1,10.6,8.3,,,,,MSX,,,
3972,1592,G332.7673-00.0069,HII region ,6.212999999999999,9.839,9.01,26.88,,,,-95.6,5.3,Kin,11242,MIPS/IGA,4.8,24.6,
3974,1628,G332.7689-00.6372,Rejected ,0.374,0.7559999999999999,0.73,3.41,,,,,,,,MSX,,,
3976,1625,G332.7733-00.6181,Rejected ,0.132,0.805,0.92,4.86,,,,,,,,MSX,,,
3978,1598,G332.7867-00.2404,HII region?,0.433,0.652,1.35,4.67,,,,-44.3,3.6,Spe,1404,MIPS/IGA,8.6,13.9,
3981,1619,G332.8024-00.5202,Rejected ,0.135,1.242,1.98,3.08,,,,,,,,MSX,,,
3982,1633,G332.8026-00.6440,Rejected ,0.107,0.894,1.08,5.06,,,,,,,,MSX,,,
3983,1632,G332.8049-00.6351,Rejected ,0.16,0.8109999999999999,1.27,5.27,,,,,,,,MSX,,,
3984,1630,G332.8067-00.6267,Rejected ,0.268,1.218,1.25,5.09,,,,,,,,MSX,,,
3985,1626,G332.8069-00.5857,Rejected ,0.7909999999999999,4.109,7.92,23.22,,,,,,,,MSX,,,
3986,1640,G332.8151-00.6543,HII region?,0.6609999999999999,0.8909999999999999,3.05,7.26,15.6,14.0,11.9,-47.4,3.6,Spe,3524,MIPS/IGA,8.6,69.7,
3990,1629,G332.8662-00.5657,Diffuse HII region ,0.261,0.688,1.56,5.38,,,,-57.1,3.6,Spe,1776,MIPS/IGA,4.8,<40.8,
3993,1614,G332.9237-00.3632,Rejected ,0.251,0.8320000000000001,1.99,6.96,,,,,,,,MSX,,,
3994,1485,G332.9457+02.3855,YSO ,0.9890000000000001,1.53,2.06,3.41,12.3,10.8,9.7,-24.6,2,Kin,909,MIPS/IGA,4.8,<0.5,
3995,1644,G332.9529-00.5210,Rejected ,0.313,1.4580000000000002,2.67,9.46,,,,,,,,MSX,,,
3999,1621,G332.9585-00.3769,Rejected ,0.098,0.637,0.77,2.81,,,,,,,,MSX,,,
4006,1624,G332.9669-00.4118,Rejected ,0.45399999999999996,0.69,0.91,5.43,,,,,,,,MSX,,,
4007,1631,G332.9674-00.4691,Diffuse HII region ,2.633,6.242999999999999,6.13,20.17,,,,,,,,MSX,,,
4008,1565,G332.9793+00.7771,Rejected ,2.174,5.689,9.4,18.16,,,,,,,,MSX,,,
4009,1645,G332.9868-00.4871,YSO ,7.045,19.585,31.64,63.73,17.6,13.7,9.3,-56.4,3.6,Spe,17543,MIPS/IGA,8.6,<4.2,
4010,1675,G332.9868-00.6199,Rejected ,0.353,1.123,2.17,6.38,,,,,,,,MSX,,,
4011,1567,G332.9879+00.7693,Rejected ,1.4709999999999999,8.908,15.16,35.63,,,,,,,,MSX,,,
4012,1561,G332.9881+00.9053,Diffuse HII region ,0.128,-0.46799999999999997,1.46,6.39,,,,,,,,MSX,,,
4013,1568,G333.0058+00.7707,YSO ,3.727,5.773,5.3,17.07,15.8,13.9,11.0,-48.3,3.2,Kin,2891,MSX,8.6,<3.8,
4014,1635,G333.0107-00.4458,Diffuse HII region ,1.482,35.231,64.39,69.56,,,,,,,,MSX,,,
4015,1641,G333.0120-00.4564,Rejected ,15.548,69.102,97.2,157.48,,,,,,,,MSX,,,
4016,1636,G333.0145-00.4438,Diffuse HII region ,13.020999999999999,29.557,33.88,145.87,,,,-54.0,3.6,Spe,65296,MSX,8.6,<3.6,
4017,1570,G333.0162+00.7615,HII region ,7.574,13.443,13.18,60.64,,,,-47.9,3.2,Kin,10236,MSX,8.6,88.8,
4018,1638,G333.0293-00.4357,Rejected ,3.358,26.543000000000003,46.68,98.41,,,,,,,,MSX,,,
4019,1601,G333.0299-00.0645,HII region ,3.603,5.2010000000000005,3.75,14.13,,,,-40.9,3.6,Spe,11557,MSX,,,
4020,1646,G333.0349-00.4463,Rejected ,2.076,17.362000000000002,33.49,60.33,,,,,,,,MSX,,,
4021,1637,G333.0389-00.4244,Rejected ,0.517,9.92,17.76,47.55,,,,,,,,MSX,,,
4025,1677,G333.0462-00.5643,Diffuse HII region ,1.298,1.781,2.27,7.04,,,,,,,,MSX,,,
4029,1654,G333.0544-00.4979,Rejected ,0.93,3.737,3.78,14.23,,,,,,,,MSX,,,
4030,1664,G333.0609-00.5060,Rejected ,0.6759999999999999,2.964,5.62,18.83,,,,,,,,MSX,,,
4031,1648,G333.0682-00.4461,YSO ,3.6519999999999997,7.151,14.21,29.34,,,,-53.0,3.6,Spe,40387,MSX,8.6,<13.9,
4032,1647,G333.0697-00.4386,Rejected ,1.054,6.896,11.01,21.13,,,,,,,,MSX,,,
4033,1667,G333.0722-00.5117,Diffuse HII region?,1.014,2.293,1.39,6.88,,,,,,,,MSX,,,
4034,1650,G333.0827-00.4518,Rejected ,0.17,3.648,3.56,12.14,,,,,,,,MSX,,,
4035,1660,G333.0844-00.4779,Diffuse HII region ,3.154,26.217,43.4,106.87,,,,,,,,MSX,,,
4036,1649,G333.0846-00.4307,Rejected ,0.797,2.273,1.01,3.94,,,,,,,,MSX,,,
4037,1658,G333.0890-00.4695,Diffuse HII region ,2.1919999999999997,6.971,4.58,20.43,,,,,,,,MSX,,,
4038,1634,G333.0909-00.3631,Diffuse HII region ,0.561,1.112,1.07,3.91,,,,,,,,MSX,,,
4039,1655,G333.0926-00.4615,Rejected ,1.84,12.639000000000001,18.17,37.69,,,,,,,,MSX,,,
4040,1643,G333.0937-00.3776,Rejected ,1.133,1.546,1.06,3.02,,,,,,,,MSX,,,
4041,1639,G333.0939-00.3730,Rejected ,0.191,1.0170000000000001,1.6,7.67,,,,,,,,MSX,,,
4043,1676,G333.1075-00.5020,YSO ,3.1460000000000004,13.2,21.44,47.82,15.1,13.4,11.7,-55.8,3.6,Spe,1602,MIPS/IGA,8.6,<5.0,
4044,1663,G333.1146-00.4508,HII region ,4.276,22.259,36.79,64.24,14.9,12.7,11.4,,3.6,Spe,17069,MSX,,,
4045,1599,G333.1153+00.0950,YSO ,3.5389999999999997,5.297999999999999,7.01,7.02,12.7,9.8,7.7,-44.1,3.6,Spe,1517,MIPS/IGA,4.8,<0.7,
4046,1661,G333.1256-00.4367,YSO ,19.017,52.354,71.25,203.36,14.4,13.1,12.1,-50.4,3.6,Spe,25273,MSX,,,
4047,1672,G333.1256-00.4717,Rejected ,0.33299999999999996,2.44,2.08,7.42,,,,,,,,MSX,,,
4048,1673,G333.1302-00.4685,Rejected ,0.8320000000000001,2.6510000000000002,2.21,7.69,,,,,,,,MSX,,,
4049,1657,G333.1306-00.4275,HII region ,25.886,94.62899999999999,142.43,529.31,,,,-51.2,3.6,Spe,137270,MSX,4.8,2,582.0
4051,1674,G333.1365-00.4632,Rejected ,0.535,2.7889999999999997,2.7,9.46,,,,,,,,MSX,,,
4052,1671,G333.1393-00.4577,Rejected ,0.633,2.128,1.56,5.36,,,,,,,,MSX,,,
4053,1607,G333.1496-00.1108,Rejected ,0.11599999999999999,1.429,2.51,5.67,,,,,,,,MSX,,,
4054,1669,G333.1521-00.4382,Rejected ,1.883,3.428,2.3,7.06,,,,,,,,MSX,,,
4056,1608,G333.1642-00.0994,HII region ,3.347,4.928,4.66,21.52,,,,-92.5,5.1,Kin,13023,MIPS/IGA,8.6,6.3,
4057,1757,G333.1757-02.4098,Evolved star?,2.003,2.699,2.36,4.01,15.5,13.4,10.7,,,,,MSX,4.8,<1.0,
4058,1680,G333.1969-00.4352,Diffuse HII region ,1.76,2.928,3.24,8.79,,,,-53.0,3.6,Spe,3434,MIPS/IGA,8.6,<29.2,
4059,1731,G333.2008-00.9280,Young/old star?,1.3090000000000002,2.217,3.27,3.71,14.4,12.8,11.1,-13.3,1.2,Kin,1481,MSX,4.8,<0.4,
4062,1682,G333.2215-00.4254,Rejected ,0.11199999999999999,1.416,1.45,5.23,,,,,,,,MSX,,,
4064,1603,G333.2479+00.0595,Diffuse HII region ,11.2,24.055,20.72,60.24,,,,,,,,MSX,,,
4065,1693,G333.2514-00.4413,Rejected ,0.7959999999999999,1.369,0.97,3.2,,,,,,,,MSX,,,
4066,1656,G333.2526-00.3027,Rejected ,0.187,1.848,3.27,7.56,,,,,,,,MSX,,,
4068,1695,G333.2595-00.4433,Rejected ,0.868,2.112,1.1,5.16,,,,,,,,MSX,,,
4069,1652,G333.2598-00.2804,Rejected ,0.267,1.518,1.47,6.27,,,,,,,,MSX,,,
4070,1653,G333.2598-00.2878,Rejected ,0.146,1.607,3.77,11.97,,,,,,,,MSX,,,
4073,1662,G333.2619-00.3009,Rejected ,0.358,1.835,2.06,5.02,,,,,,,,MSX,,,
4074,1659,G333.2636-00.2948,Rejected ,0.785,2.24,3.76,10.37,,,,,,,,MSX,,,
4075,1665,G333.2643-00.3070,Rejected ,0.609,1.306,0.87,2.84,,,,,,,,MSX,,,
4076,1689,G333.2843-00.4000,HII region ,5.814,24.448,31.76,91.64,,,,-51.6,3.6,Spe,41021,MSX,,,
4077,1687,G333.2880-00.3907,HII region ,8.187000000000001,22.404,31.05,142.63,,,,-51.6,3.6,Spe,74659,MSX,8.6,6,721.0
4078,1670,G333.2920-00.2978,Rejected ,0.215,1.311,0.92,2.75,,,,,,,,MSX,,,
4079,1697,G333.3001-00.4153,Other??,0.816,1.886,1.33,4.46,15.9,13.6,9.8,,,,,MSX,,,
4080,1499,G333.3045+02.2715,Diffuse HII region?,0.182,1.2,1.99,5.43,,,,,,,,MSX,,,
4081,1690,G333.3051-00.3793,Rejected ,6.882000000000001,15.285,10.03,48.89,,,,,,,,MSX,,,
4082,1686,G333.3072-00.3666,Diffuse HII region ,37.825,153.97,269.83,1134.1,,,,-50.2,3.6,Spe,507661,MSX,8.6,<43.2,
4083,1604,G333.3151+00.1053,YSO ,0.8170000000000001,2.229,5.16,21.58,,,,-47.7,3.6,Spe,5575,MIPS/IGA,8.6,<1.9,
4084,1642,G333.3401-00.1273,HII region ,2.736,4.651,6.65,22.57,15.1,12.3,10.4,-59.7,3.6,Spe,4453,MIPS/IGA,8.6,2.5,
4088,1574,G333.3833+00.9198,PN?,0.33799999999999997,-0.46799999999999997,2.48,4.06,,,,,,,,MSX,,,
4089,1571,G333.4292+01.1874,PN ,1.151,1.351,6.73,9.49,12.8,12.6,11.3,,,,,MSX,,,
4090,1536,G333.4593+01.9795,Evolved star ,6.394,10.795,11.96,13.52,11.5,9.0,7.3,-24.5,2,Kin,1794,MSX,4.8,<1.2,
4091,1678,G333.4636-00.1599,Diffuse HII region ,1.181,1.75,1.85,7.1,,,,-60.5,3.79/11.24,,3522.5/30981.8,MSX,,,
4092,1679,G333.4680-00.1603,Rejected ,0.569,2.324,3.55,12.7,,,,,,,,MSX,,,
4093,1696,G333.4747-00.2366,YSO ,1.9909999999999999,3.779,6.27,10.24,15.2,12.0,9.6,-50.7,3.6,Spe,2718,MIPS/IGA,8.6,<11.3,
4094,1681,G333.4769-00.1689,Rejected ,0.591,1.3359999999999999,1.22,3.66,,,,,,,,MSX,,,
4095,1709,G333.5002-00.3287,HII region ,0.1,-0.491,0.81,3.97,,,,-50.2,3.6,Spe,1125,MSX,,,
4096,1706,G333.5114-00.2798,Diffuse HII region ,0.293,2.35,3.34,10.62,,,,,,,,MSX,,,
4097,1720,G333.5256-00.3823,Rejected ,0.188,0.938,1.03,4.24,,,,,,,,MSX,,,
4098,1723,G333.5309-00.3877,Rejected ,0.327,1.415,1.08,3.5,,,,,,,,MSX,,,
4099,1668,G333.5399-00.0432,Rejected ,0.385,0.7390000000000001,0.89,3.16,,,,,,,,MSX,,,
4101,1705,G333.5642-00.2149,HII region ,6.309,13.952,15.39,52.11,,,,-47.7,3.6,Spe,23326,MSX,,,
4103,1691,G333.5771-00.1068,Rejected ,0.527,1.556,1.36,4.81,,,,,,,,MSX,,,
4104,1685,G333.5779-00.0886,Rejected ,0.449,2.057,4.34,16.36,,,,,,,,MSX,,,
4105,1683,G333.5792-00.0735,Diffuse HII region ,1.347,2.957,4.25,12.94,,,,,,,,MSX,,,
4106,1684,G333.5924-00.0719,Rejected ,0.654,3.627,6.89,25.38,,,,,,,,MSX,,,
4107,1701,G333.5959-00.1624,Rejected ,0.41,0.813,2.59,10.33,,,,,,,,MSX,,,
4108,1704,G333.5973-00.1720,Rejected ,0.348,0.645,0.94,7.65,,,,,,,,MSX,,,
4109,1702,G333.5974-00.1675,Rejected ,0.737,2.366,1.38,8.21,,,,,,,,MSX,,,
4110,1688,G333.5998-00.0820,Rejected ,0.541,3.4530000000000003,5.45,16.63,,,,,,,,MSX,,,
4111,1708,G333.6032-00.2184,HII region ,211.74,408.51,1565.7,1650.8,10.2,9.3,8.5,-49.2,3.6,Spe,183860,MSX,4.8,<54.3,
4112,1711,G333.6036-00.2362,Rejected ,0.361,6.941,2.11,22.79,,,,,,,,MSX,,,
4113,1692,G333.6041-00.0858,Diffuse HII region??,1.123,3.0180000000000002,2.33,7.21,,,,,,,,MSX,,,
4114,1715,G333.6080-00.2425,Rejected ,3.736,13.122,13.21,54.75,,,,,,,,MSX,,,
4115,1707,G333.6099-00.1987,Diffuse HII region ,14.054,53.56399999999999,70.52,212.58,,,,-47.5,3.6,Spe,95158,MSX,4.8,<32.5,
4116,1716,G333.6227-00.2493,Rejected ,4.148,7.684,5.35,13.39,,,,,,,,MSX,,,
4117,1694,G333.6244-00.0751,Rejected ,1.113,1.985,1.2,3.14,,,,,,,,MSX,,,
4118,1714,G333.6261-00.2203,Rejected ,3.15,19.327,29.89,74.66,,,,,,,,MSX,,,
4119,1718,G333.6266-00.2552,Rejected?,0.136,6.2860000000000005,3.07,10.53,,,,,,,,MSX,,,
4120,1698,G333.6287-00.1033,HII region ,0.16899999999999998,1.4,2.58,7.43,12.3,11.2,10.6,,3.6,Spe,1654,MSX,,,
4121,1719,G333.6302-00.2558,Rejected ,4.099,8.407,4.88,14.8,,,,,,,,MSX,,,
4125,1713,G333.6453-00.1972,Rejected ,1.636,5.1,3.04,23.19,,,,,,,,MSX,,,
4127,1710,G333.6501-00.1821,Rejected ,1.177,2.092,1.42,5.04,,,,,,,,MSX,,,
4129,1712,G333.6520-00.1878,Diffuse HII region ,0.36200000000000004,3.1239999999999997,1.97,11.51,,,,-51.2,3.6,Spe,5152,MSX,4.8,<290.6,
4130,1703,G333.6539-00.1151,Rejected ,0.22399999999999998,1.236,1.86,8.65,,,,,,,,MSX,,,
4131,1700,G333.6556-00.1001,Rejected ,0.5720000000000001,2.324,5.04,15.93,,,,,,,,MSX,,,
4132,1717,G333.6588-00.2175,Rejected ,2.121,2.8360000000000003,2.41,5.22,,,,,,,,MSX,,,
4133,1699,G333.6598-00.0948,Rejected ,0.295,1.0390000000000001,3.37,10.56,,,,,,,,MSX,,,
4134,1835,G333.6680-03.0963,Evolved star?,0.22,0.76,1.24,3.29,12.1,11.2,10.9,,,,,MSX,,,
4135,1722,G333.6753-00.2387,Rejected ,0.5,1.8259999999999998,0.89,3.13,,,,,,,,MSX,,,
4136,1721,G333.6764-00.2334,Rejected ,1.2930000000000001,2.773,1.48,5.64,,,,,,,,MSX,,,
4137,1730,G333.6788-00.4344,HII region ,0.9079999999999999,2.3209999999999997,2.68,9.72,,,,-5.6,14.4,Kin,24339,MIPS/IGA,8.6,56.7,
4138,1746,G333.6797-01.2734,Evolved star ,2.325,3.628,3.87,5.56,12.0,11.0,9.7,-11.4,1.1,Kin,232,MSX,4.8,<1.1,
4139,1733,G333.6985-00.5033,Diffuse HII region ,1.032,3.0439999999999996,5.85,18.69,,,,,,,,MSX,,,
4140,1622,G333.7261+00.3678,Diffuse HII region ,11.442,16.147000000000002,12.11,69.47,,,,-33.0,2.46/12.61,,17549.6/461135.1,MIPS/IGA,8.6,<0.7,
4141,1732,G333.7339-00.4267,HII region ,1.8,3.364,3.18,7.12,,,,-3.9,14.5,Kin,54239,MIPS/IGA,8.6,<1.7,
4142,1724,G333.7608-00.2253,YSO?,0.18,0.634,1.84,4.92,15.2,12.8,10.9,-48.9,3.6,Spe,1606,MIPS/IGA,8.6,<2.3,
4143,1744,G333.9206-00.8912,Evolved star ,0.21600000000000003,0.758,1.35,11.44,9.9,8.5,7.7,,,,,MSX,,,
4144,1727,G333.9255-00.1042,Rejected ,0.152,-0.5489999999999999,0.81,3.28,,,,,,,,MSX,,,
4145,1606,G333.9294+00.6858,PN ,0.603,4.5089999999999995,5.15,8.89,10.3,9.2,8.5,,,,,MSX,,,
4146,1728,G333.9305-00.1319,YSO ,1.537,2.582,3.81,5.75,17.7,14.7,11.2,-43.4,3.6,Spe,4793,MIPS/IGA,8.6,<2.3,
4147,1651,G333.9772+00.4424,Evolved star?,0.115,0.8059999999999999,1.31,4.83,,,,-64.2,3.97/11.12,,2629.4/20629.3,MSX,4.8,<0.6,
4148,1509,G333.9932+02.8909,OH/IR star ,6.997000000000001,10.911,14.22,15.96,17.3,13.2,9.2,2.5,15.1,Kin,125691,MSX,4.8,<0.7,
4149,1729,G334.0256-00.0502,HII region ,1.778,1.871,1.7,5.53,,,,,,,,MSX,,,
4150,1734,G334.1602-00.0604,HII/YSO ,0.632,1.183,1.52,2.95,,,,-66.1,4.1,Kin,942,MIPS/IGA,8.6,<1.4,
4151,1725,G334.1951+00.1907,Rejected ,0.8140000000000001,2.2359999999999998,2.06,3.63,,,,,,,,MSX,,,
4152,1726,G334.2019+00.1872,Diffuse HII region ,0.935,3.705,4.81,9.26,,,,,,,,MSX,,,
4153,1739,G334.3272-00.2884,Evolved star ,1.296,1.34,1.39,3.38,14.7,10.3,7.9,,,,,MSX,4.8,9.3,
4154,1735,G334.3417+00.0455,Diffuse HII region ,2.0180000000000002,4.791,5.8,16.36,,,,,,,,MSX,,,
4155,1736,G334.3602+00.0579,Evolved star ,10.17,22.509,21.02,19.56,12.1,8.1,6.0,,,,,MSX,,,
4157,1738,G334.7202+00.1762,PN?,0.747,4.607,8.5,21.99,14.7,11.5,9.7,-90.2,5.04/10.15,,19293.3/78248.7,MSX,8.6,6.9,
4158,1748,G334.7225-00.6539,HII region ,2.615,6.755,14.14,35.36,,,,-44.6,12.1,Kin,60942,MIPS/IGA,8.6,420.4,
4159,1742,G334.7302+00.0052,YSO?,2.4459999999999997,3.165,3.78,10.71,15.5,13.0,9.6,-33.9,2.5,Kin,3823,MIPS/IGA,8.6,<1.4,
4160,1743,G334.7837-00.0211,Rejected ,0.106,-0.509,1.57,3.22,,,,,,,,MSX,,,
4163,1563,G334.8686+02.7773,Young/old star?,2.0540000000000003,3.8080000000000003,5.34,6.4,16.4,14.3,11.4,-25.9,2.1,Kin,196,MIPS/IGA,4.8,<0.7,
4166,1768,G335.0637-01.1559,Evolved star ,0.22699999999999998,-0.573,0.96,4.57,8.4,7.5,6.8,,,,,MSX,,,
4167,1741,G335.1416+00.4939,Evolved star??,16.414,24.706999999999997,32.56,33.01,15.3,14.0,11.3,-60.5,3.85/11.4,,16899.9/148173.9,MSX,8.6,<0.5,
4168,1749,G335.1734-00.2428,Diffuse HII region ,0.355,2.176,3.82,11.82,,,,,,,,MSX,,,
4169,1753,G335.1972-00.3884,HII region ,0.797,0.9490000000000001,0.96,3.39,,,,-37.1,2.7,Kin,1007,MIPS/IGA,4.8,57.5,
4170,1745,G335.3305+00.4121,Diffuse HII region ,2.8819999999999997,4.354,4.01,11.17,,,,,,,,MSX,,,
4171,1867,G335.3664-02.1206,Evolved star ,1.754,2.125,2.27,5.96,14.8,11.3,9.0,,,,,MSX,8.6,<0.7,
4172,1754,G335.3910-00.2902,HII region?,0.24100000000000002,0.8009999999999999,2.11,9.63,17.6,14.8,13.4,-19.7,13.6,Kin,18616,MIPS/IGA,8.6,21,
4173,1756,G335.4568-00.2432,Rejected ,1.255,1.597,1.45,3.16,,,,,,,,MSX,,,
4174,1763,G335.4909-00.4137,Evolved star ,8.193999999999999,12.517999999999999,17.64,17.17,,,,,,,,MSX,,,
4175,1581,G335.5099+03.0130,Evolved star??,0.853,4.2589999999999995,8.64,12.64,13.0,12.6,11.0,,,,,MSX,4.8,<0.6,
4176,1760,G335.5783-00.2075,HII region ,1.67,6.3,13.01,39.45,,,,-75.8,10.8,Kin,77193,MIPS/IGA,4.8,67.4,
4177,1751,G335.6052+00.0423,Evolved star ,1.57,2.536,3.36,3.62,15.5,13.1,11.0,,,,,MSX,8.6,<0.5,
4178,1800,G335.6645-00.9759,Evolved star ,0.377,-0.573,1.01,6.04,11.3,10.5,9.9,,,,,MSX,,,
4179,1761,G335.7288-00.0966,YSO ,1.6159999999999999,2.7460000000000004,4.12,3.88,16.9,14.1,13.5,-66.2,11.2,Kin,18169,MIPS/IGA,4.8,<0.6,
4180,1752,G335.7681+00.1701,Rejected ,0.18600000000000003,-0.5489999999999999,1.3,4.8,,,,,,,,MSX,,,
4181,1737,G335.8322+01.4341,OH/IR star ,0.214,0.941,2.92,12.08,12.1,10.8,10.0,,,,,MSX,4.8,<1.8,
4182,1762,G335.9462+00.0296,HII region ,1.163,1.474,1.09,3.05,,,,-54.8,3.6,Kin,1593,MIPS/IGA,4.8,3.9,
4183,1854,G335.9462-01.3540,PN?,0.364,0.784,1.41,8.18,13.3,12.6,11.9,,,,,MSX,,,
4184,1759,G335.9800+00.1928,HII region ,1.508,3.4139999999999997,4.04,11.74,,,,-56.3,3.7,Kin,3333,MIPS/IGA,4.8,164.3,
4185,1829,G335.9960-00.8532,YSO ,1.568,2.4819999999999998,3.57,4.62,,,,-47.4,3.3,Kin,934,MSX,,,
4186,1827,G336.0216-00.8194,Diffuse HII region ,8.055,18.639,19.06,63.46,,,,,,,,MSX,,,
4187,1846,G336.0753-01.0835,OH/IR star ,63.338,98.65899999999999,119.03,135.53,11.1,8.0,5.8,,,,,MSX,4.8,<0.5,
4188,1764,G336.0778+00.0361,HII region ,1.6340000000000001,2.18,1.55,4.71,,,,,,,,MSX,4.8,<0.6,
4189,1765,G336.1448+00.0829,Evolved star ,19.54,57.348,72.42,187.93,8.7,6.6,5.5,,,,,MSX,,,
4190,1755,G336.2344+00.5067,Evolved star ,1.3769999999999998,4.192,9.79,25.84,17.0,13.9,11.2,-29.4,2.34/13.03,,4887.0/151529.4,MSX,4.8,<0.5,
4191,1769,G336.2822-00.0512,Other ,0.111,2.0709999999999997,1.49,15.0,12.2,10.8,10.1,,,,,MSX,,,
4192,1781,G336.3554-00.2033,Rejected ,0.121,0.848,2.41,7.41,,,,,,,,MSX,,,
4193,1782,G336.3602-00.2008,Rejected ,0.136,0.718,2.14,7.32,,,,,,,,MSX,,,
4194,1779,G336.3616-00.1377,Diffuse HII region ,5.106,22.034000000000002,30.96,84.98,,,,-79.6,4.66/10.73,,61846.0/327898.5,MIPS/IGA,8.6,<1.8,
4195,1866,G336.3626-01.2203,HII region ,1.3159999999999998,2.997,5.12,9.16,8.4,7.9,7.5,,,,,MSX,,,
4199,1784,G336.3707-00.2376,Rejected ,0.27,-0.6729999999999999,1.0,5.29,,,,,,,,MSX,,,
4200,1785,G336.3756-00.2456,Rejected ,0.259,-0.5489999999999999,1.34,7.01,,,,,,,,MSX,,,
4202,1783,G336.3815-00.2059,Rejected ,0.154,0.623,1.53,6.16,,,,,,,,MSX,,,
4204,1791,G336.4070-00.2502,Diffuse HII region ,1.8359999999999999,3.842,2.63,5.72,,,,,,,,MSX,,,
4207,1772,G336.4130+00.0292,Diffuse HII region ,1.177,1.972,1.42,2.97,,,,,,,,MSX,,,
4208,1868,G336.4170-01.1858,Evolved star??,1.3019999999999998,2.6689999999999996,3.1,4.75,13.2,12.4,11.7,,,,,MSX,,,
4209,1793,G336.4193-00.2433,Rejected ,0.713,2.336,2.2,5.34,,,,,,,,MSX,,,
4210,1794,G336.4289-00.2472,Diffuse HII region ,1.146,3.0389999999999997,2.68,4.54,,,,,,,,MSX,,,
4211,1799,G336.4415-00.2597,HII region ,2.559,4.955,4.56,11.53,,,,-89.0,10.4,Kin,48916,MIPS/IGA,4.8,<1.9,
4212,1780,G336.4524-00.0538,OH/IR star ,1.765,2.679,3.94,4.02,,,,,,,,MSX,4.8,<1.2,
4213,1805,G336.4595-00.2666,Rejected ,0.106,2.19,4.26,18.32,,,,,,,,MSX,,,
4214,1775,G336.4691+00.0176,Other ,0.968,1.314,0.9,2.73,7.7,6.6,6.1,,,,,MSX,,,
4215,1776,G336.4815+00.0241,Other ,0.324,1.1179999999999999,1.71,4.55,11.4,9.4,8.4,,,,,MSX,,,
4216,1771,G336.4822+00.0942,Young/old star ,3.264,7.047999999999999,7.26,14.13,11.9,8.1,6.2,,,,,MSX,,,
4219,1810,G336.4982-00.2596,Diffuse HII region ,2.006,5.382999999999999,6.66,12.29,,,,,,,,MSX,,,
4222,1995,G336.5299-01.7344,YSO ,2.8569999999999998,3.7489999999999997,4.19,5.46,13.2,10.4,8.4,-20.9,1.8,Kin,2133,MIPS/IGA,8.6,<0.4,
4223,1803,G336.5396-00.1819,HII region?,1.6669999999999998,4.314,5.97,18.52,16.8,15.4,13.3,-84.5,10.6,Kin,30592,MIPS/IGA,8.6,<0.5,
4224,1804,G336.5421-00.1878,Other?,0.958,4.562,6.43,13.73,13.6,10.2,8.3,,,,,MSX,,,
4225,1809,G336.5488-00.2081,HII region ,1.376,2.875,2.57,7.96,,,,-84.7,10.6,Kin,39178,MIPS/IGA,8.6,<1.9,
4226,2002,G336.5504-01.8073,HII region??,0.35600000000000004,0.951,1.94,5.76,10.4,9.4,8.8,,,,,MSX,,,
4228,1853,G336.6445-00.6953,PN ,3.287,9.479,14.97,29.44,14.8,13.3,11.2,,,,,MSX,,,
4229,1825,G336.6503-00.2197,Evolved star?,1.386,2.281,2.56,2.7,14.1,13.2,10.6,,,,,MSX,4.8,<0.6,
4231,1789,G336.6964+00.0268,Rejected ,0.087,0.925,1.2,3.51,,,,-114.2,7.7,Kin,7216,MSX,8.6,<2.1,
4232,1790,G336.7382+00.0624,Diffuse HII region?,0.322,1.4180000000000001,1.39,4.95,,,,,,,,MSX,,,
4233,1792,G336.7416+00.0554,Diffuse HII region ,1.01,1.8119999999999998,1.7,4.89,,,,,,,,MSX,,,
4234,1795,G336.7637+00.0518,Rejected ,1.348,2.135,2.16,7.55,,,,,,,,MSX,,,
4235,1778,G336.7725+00.2463,HII region ,1.393,2.627,2.83,8.58,,,,-74.5,4.5,Kin,2876,MIPS/IGA,8.6,<0.5,
4237,1797,G336.7760+00.0512,Rejected ,1.355,2.1919999999999997,2.16,4.5,,,,,,,,MSX,,,
4238,1802,G336.7782+00.0461,Rejected ,0.5589999999999999,1.6980000000000002,3.4,9.29,,,,,,,,MSX,,,
