Name,Flux_70
G041.3780+00.0350,236.649000
G041.5130-00.1412,109.130000
G041.7410+00.0972,340.992000
G042.1099-00.4466,219.172000
G042.1606+00.6080,13.734000
G042.2396+00.3434,66.251000
G042.3083-00.1324,24.643000
G042.6040+00.0666,24.853000
G043.0281+00.1406,11.456000
G043.1497+00.0272,176.867000
G043.1650-00.0285,1844.320000
G043.1679+00.0095,5074.020000
G043.1724+00.0004,751.352000
G043.1770-00.5187,401.432000
G043.1824-00.0260,246.643000
G043.2945-00.6451,2.929000
G043.3061-00.2106,474.862000
G043.7619+00.5138,5.114000
G043.7955-00.1275,2212.670000
G043.8152-00.1172,15.214000
G043.8846-01.0195,2.823000
G043.8861-00.7970,3.959000
G043.8896-00.7835,546.890000
G043.9956-00.0111,261.327000
G044.2404+00.3090,2.559000
G044.2836-00.5249,97.027000
G044.3103+00.0416,447.215000
G044.7991+00.6608,22.338000
G045.0711+00.1325,3784.650000
G045.1221+00.1323,3747.010000
G045.1253+00.1127,33.328000
G045.1894-00.4387,143.688000
G045.4297+00.0511,9.911000
G045.4641+00.0284,132.136000
G045.4782+00.1323,851.270000
G046.0166+00.2644,12.473000
G046.2776-00.9429,3.221000
G046.4993-00.2421,5.762000
G047.0573-00.7213,2.760000
G047.6884-00.3021,3.041000
G047.9002+00.0671,20.944000
G048.3202-00.0084,1.325000
G048.5891+00.0424,103.617000
G048.7179+01.1504,28.688000
G048.9624-00.2977,26.550000
G049.0114-00.4203,14.278000
G049.0121-00.3362,20.451000
G049.0154-00.2777,36.221000
G049.0431-01.0787,162.397000
G049.0618-00.2858,17.024000
G049.0707-00.3000,19.917000
G049.0783-00.3739,222.074000
G049.0859-00.3849,39.865000
G049.2015-00.1876,33.889000
G049.2869-00.8201,2.918000
G049.2982-00.0582,17.700000
G049.3478-00.3331,29.649000
G049.4673-00.3842,338.622000
G049.4903-00.3694,7547.890000
G049.4970-00.4718,84.712000
G049.5347-00.3780,114.851000
G049.5531-00.3302,157.479000
G049.5722-00.2737,74.546000
G049.5757-00.3519,235.730000
G049.5933-00.4571,11.998000
G049.5993-00.2488,84.305000
G049.6894-00.3346,3.191000
G049.6945+00.8642,80.728000
G049.9983+00.0845,4.160000
G050.0458+00.7692,77.290000
G050.1151+00.0508,0.424000
G050.2213-00.6063,260.467000
G050.3728+00.4784,1.608000
G050.4802+00.7058,81.052000
G050.5557+00.0448,17.734000
G050.7796+00.1520,53.451000
G051.5099+00.1677,10.301000
G051.6783+00.7190,542.298000
G051.6848-00.2591,7.555000
G051.8042-00.2247,16.950000
G051.8346+00.2837,4.682000
G051.9286+00.5785,16.266000
G052.2078+00.6890,71.088000
G052.5405-00.9272,50.951000
G052.5814+00.2014,4.726000
G052.9217+00.4142,61.245000
G052.9221-00.4892,59.978000
G053.1417+00.0705,352.440000
G053.1659-00.2473,105.010000
G053.1865+00.2093,117.254000
G053.1867+00.1622,97.951000
G053.1969+00.1483,20.808000
G053.5343-00.7943,37.936000
G053.5671-00.8653,49.533000
G053.6302-00.2391,36.252000
G054.0926-00.0693,174.523000
G054.0954-00.0598,59.671000
G054.9492+00.7354,42.849000
G055.2586+00.5159,52.691000
G055.3704+00.1858,454.359000
G055.5067-00.5579,13.067000
G055.9966-00.0848,46.577000
G056.3694-00.6333,105.059000
G056.4095-00.3083,26.340000
G056.4120-00.0277,27.129000
G057.3283+00.5849,1.674000
G057.5494+01.2169,2.787000
G057.8126+01.4597,2.291000
G059.1886+00.1053,14.556000
G059.3614-00.2068,134.311000
G059.4657-00.0457,10.211000
G059.4784-00.8969,6.783000
G059.6403-00.1812,105.223000
G059.7005+00.9631,51.348000
G059.7654-00.0269,102.712000
G059.7831+00.0648,1303.560000
G059.7924+00.2368,25.206000
G059.8237-00.5357,3.256000
G059.9997+00.1167,32.947000
G060.4776+01.5907,5.330000
G060.5750-00.1861,274.009000
G060.8716-00.1072,323.019000
G060.9134-01.0561,14.838000
G061.2108+00.6192,4.030000
G061.7201+00.8630,219.331000
G061.8443-00.5649,47.785000
G063.1140+00.3416,84.550000
G063.1264+00.4444,172.552000
G064.1338-00.4602,91.954000
G064.1528+01.2817,102.017000
G064.8131+00.1743,202.769000
G065.6705-00.7365,4.438000
G289.4993+00.1231,23.017000
G289.5787-00.6388,120.515000
G289.7706-01.2332,18.356000
G289.8794-00.7979,1001.300000
G289.8985-00.7986,26.093000
G290.2292-00.8311,64.919000
G290.6874-00.3083,37.865000
G291.0670-00.7941,233.366000
G291.2725-00.7198,6694.310000
G291.2731-00.7101,3597.510000
G291.3213-00.7465,25.752000
G291.5596-00.4146,144.503000
G291.5646-00.6211,8.306000
G291.5874-00.5051,198.388000
G291.5924-00.6488,1.019000
G291.5954-00.6414,16.678000
G291.5956-00.5598,98.752000
G291.6045-00.6027,13.115000
G291.6105-00.5300,1540.800000
G291.6181-00.6573,13.480000
G291.6212-00.4382,105.739000
G291.6386-00.4086,0.057000
G291.6455-00.4646,74.197000
G291.6657-00.4413,32.399000
G291.6960-00.4599,34.122000
G291.6978-00.5397,104.522000
G291.7202-00.5391,28.438000
G292.7329-00.2482,7.048000
G292.8889-01.2023,17.157000
G293.0352-00.7871,65.297000
G293.1266-00.0739,5.043000
G293.4510+00.0670,5.979000
G293.5607-00.6703,64.389000
G293.6201-01.6117,3.378000
G293.8947-00.7825,40.659000
G293.9512-00.8941,539.226000
G293.9570-01.0123,22.099000
G293.9931-00.9309,68.522000
G294.2815-01.9124,1.386000
G294.9725-01.7290,1315.910000
G294.9845-00.5363,51.695000
G294.9895-01.7186,699.292000
G295.1523-00.5890,110.882000
G295.1750-00.5737,252.638000
G295.3604-00.4955,8.877000
G295.4550+00.0311,0.855000
G295.4661-00.1870,8.748000
G295.4805-00.4454,17.611000
G295.8065-01.8214,56.607000
G296.2654-00.3901,14.148000
G296.7935-00.4756,8.279000
G296.8926-01.3050,54.840000
G297.1390-01.3510,29.797000
G297.2535-00.7557,100.131000
G297.4701-00.7343,33.501000
G297.6252-00.9043,58.511000
G297.6605-00.9745,755.584000
G298.1829-00.7860,1141.360000
G298.1964-00.2513,11.948000
G298.2046-00.3597,169.353000
G298.2493-00.3536,32.667000
G298.3323-00.2200,9.077000
G298.6823+00.1320,2.949000
G298.6992-01.7067,97.102000
G298.7136+00.3103,1.002000
G298.8117-00.4206,17.051000
G298.8332+00.1279,202.530000
G298.9008-00.4930,7.528000
G299.5265+00.1478,23.007000
G299.5354-00.0213,5.225000
G299.5620-00.3837,0.831000
G300.3412-00.2190,40.839000
G301.5309-00.8231,14.478000
G302.0213+00.2542,255.176000
G302.0319-00.0613,1367.920000
G302.4546-00.7401,125.707000
G302.4867-00.0308,432.323000
G302.5005-00.7701,28.607000
G302.6604-00.7908,24.915000
G303.1179-00.9710,427.635000
G303.3848-00.9658,15.074000
G303.5353-00.5982,102.352000
G303.9973+00.2800,142.810000
G304.5719+00.7163,7.272000
G304.6668-00.9654,217.774000
G304.7592-00.6299,43.010000
G304.7700-00.5193,45.691000
G305.0300+00.1791,4.958000
G305.1370+00.2439,2.219000
G305.1543+00.1685,72.422000
G305.1715+00.0836,10.412000
G305.1775+00.1625,80.229000
G305.1940-00.0051,343.752000
G305.1967+00.0335,1746.550000
G305.2025+00.0099,70.688000
G305.2242+00.2028,143.320000
G305.2339+00.2151,65.623000
G305.2494-00.0181,42.255000
G305.2587+00.1565,34.080000
G305.2766+00.1673,123.953000
G305.2866+00.2316,45.325000
G305.2958+00.0410,2.655000
G305.3009+00.2078,17.657000
G305.3012+00.0971,63.721000
G305.3210+00.0706,946.791000
G305.3611+00.1494,1796.970000
G305.3719+00.1837,373.529000
G305.4399+00.2103,82.622000
G305.4748-00.0961,216.991000
G305.4840+00.2248,46.759000
